Ticker,Rank,Sector,Momentum,Reversion,Multifactor,Eventos,Score,Senal principal,Rend 1 sem,Rend 3m,Mom 12-1,Volatilidad,RSI,Tendencia,Reporta en (dias)
TMO,49,Salud,72.50633528265107,5.048543689320389,60.17948717948718,67.55589879376288,54.326635235258124,Momentum,0.07438633863734778,0.42079903197741797,0.30798770500438555,0.29229804148095945,69.79181406506133,Alcista,28.0
CRL,50,Salud,91.9551656920078,27.119741100323623,53.79487179487179,23.60473668726096,53.86990680358079,Momentum,0.021603107650815634,0.5367372412283813,0.8564876871714109,0.39717157199491526,52.103323259287116,Alcista,
OXY,51,Energia,36.64856585909217,80.3883495145631,49.745670995671,58.76581347455134,53.74910365425183,Reversion,-0.07332468224028077,0.10601343157132637,0.31880011754114257,0.3501424039045781,41.15167889288464,Alcista,
ILMN,52,Salud,96.35794346978557,3.883495145631068,60.070512820512825,30.034201235657545,53.712076163347234,Momentum,0.14701503109030378,0.47986119778370306,1.069688518098023,0.46205147248815265,65.06807451037906,Alcista,
WTW,53,Financiero,47.290448343079916,80.64724919093852,41.007974481658685,53.193586348926154,53.257693955394515,Reversion,-0.05217628302091881,0.217285936417408,0.0413287846550201,0.315635814248987,35.93977234275704,Alcista,
PRU,54,Financiero,78.31384015594543,38.89967637540453,65.3261562998405,11.564430714916151,53.18482035479992,Momentum,-0.008117165026804374,0.10750382630056787,0.2085179976613245,0.20510677477861947,48.00265338352912,Alcista,
MRNA,55,Salud,98.74147173489278,1.1650485436893203,41.40384615384616,53.43225948808473,52.963056972976496,Momentum,0.17894880062112817,1.914146076065364,4.238507006976624,3.7475067382736746,69.55505043642515,Alcista,
BAX,56,Salud,52.05165692007797,81.55339805825243,35.38461538461539,48.56207708149456,52.2539767193574,Reversion,-0.038977379773087906,0.16677755102694447,0.1165342770413238,0.4048006885935881,30.751631086558845,Alcista,
DELL,57,Tecnologia,94.97780946050592,7.9611650485436884,45.57028261137851,42.42130038246543,52.24092070776715,Momentum,0.07679487536847507,0.37627640470404633,2.3329830398123947,0.8250723539479516,62.80244159995618,Alcista,
CRWD,58,Tecnologia,80.90776068065182,6.666666666666667,40.75297729236085,71.23345101500442,52.07824492823802,Momentum,0.059350840899414115,0.47666709227898596,0.5147523585048859,0.7467151750225082,64.64141926875439,Alcista,
VRSN,59,Tecnologia,50.91886767806018,6.213592233009709,70.81105763297545,67.41247425713445,51.24419089133952,Multifactor,0.03208300862842095,0.24786896590073582,-0.019342922744170488,0.29076112332199383,67.57664134126529,Alcista,29.0
HONA,60,Industrial,,,23.599158538917575,91.97312935177013,50.9487468640586,Eventos,0.03016819169309226,-0.35244991162026096,,0.6969947414251872,57.01445251620615,,
AAPL,61,Tecnologia,68.07917867398761,10.614886731391586,63.8036298284586,40.48690791409238,49.785201479830654,Momentum,0.017713536243290307,0.1422926360427632,0.3134770267534912,0.29271543364401403,66.36612860862746,Alcista,
P,62,Tecnologia,72.03310015134096,1.6181229773462782,44.29638714056523,68.83274492497793,48.9890197680367,Momentum,0.2119855527999992,0.475337517022294,0.26326678659638203,0.7240424574650985,65.44208127447713,Alcista,
AES,63,Servicios publicos,74.71734892787524,16.634304207119744,62.89211236791882,14.760223595175052,47.56174394919717,Momentum,0.002027008958416898,0.024428090010958137,0.19731775529843665,0.03046901223322991,62.21805829222945,Alcista,
AJG,64,Financiero,30.74561403508772,80.77669902912622,25.511961722488035,40.805383936451896,41.19368932038836,Reversion,-0.06589025756148892,0.1346957511455278,-0.11719233601466894,0.3595016887508317,37.85167295117817,Alcista,
QCOM,65,Tecnologia,38.66236820815047,4.919093851132686,56.64390503517216,52.44851426890261,40.06540359700385,Multifactor,0.07815710412482813,-0.11993194834606502,-0.029327514184314674,0.4824383028120844,65.86808854462298,Alcista,
PSKY,66,Comunicaciones,12.2078142215442,,32.09964552355857,52.57502206531333,29.75905292074187,Eventos,-0.08410350028451574,0.006652610287119165,-0.41651807372259964,0.401535585321212,42.9441775057235,No,
